Subject,Category
Daily Buzz: Give our Mahindra Racing driver Jérôme D’Ambrosio a winning edge with FANBOOST! ,Learning Bytes
Announcing the Launch of the Star Awards : Nominations Open!,Social
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Learning Bytes
Assigned activity Digital 201 certification is overdue.,Important
The Daily Buzz: Automation Friday: Attend a webinar on AI for digital transformation in business,Learning Bytes
Mothers' Day is here: What are your plans? | #50Things,Social
RE: Announcing Star Awards 2019 : Start Identifying Your Best of Best NOW!,Social
Kudos for going from good to better: Are you game? | #SupportOdisha,Social
SuperMoms- Happy Mothers day,Social
Mandatory information completion for  Adityan Gopinathan (612119),Important
Daily Buzz: Take a quiz on your favourite news app Nemo and stand a chance to win some exciting prizes! ,Learning Bytes
Training Calendar - May 2019,Learning Bytes
Learning Bytes: Pluralsight | Lifeskill | Legal | Technical | Automation | PEG | Blockchain | EMEA | Data Analytics Sessions,Learning Bytes
Daily Buzz: See yourself working with a new team? Check out Talex today! ,Learning Bytes
Nominations For Star Awards 2019 Are Open Now. Hurry! ,Social
"Service notification: The new integrated video, webex & audio meetings service is now live! ",Important
RE: Announcing Star Awards 2019 : Start Identifying Your Best of Best NOW!,Social
Invite for Angular session (Java Full Stack ) : Thursday schedule,Learning Bytes
Invite for Angular session (Java Full Stack ),Learning Bytes
Daily Buzz: Grateful for an incredible family at work? Wish them on Kudos today! ,Learning Bytes
Time for your valuable feedback for AI boot camp at Chennai.,Learning Bytes
Learning Bytes: Pluralsight | Lifeskills| Legal | Technical | Automation | PEG | Blockchain | EMEA | Data analytics Sessions,Learning Bytes
RE: Invite for Angular session (Java Full Stack ),Learning Bytes
Daily Buzz: Join the live webcast of an insightful session on Water Conservation today at 5 PM IST! ,Learning Bytes
TIM Service Notification - Planned Maintenance - Chennai TMCC WLC IOS upgradation,Important
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
FW: AQT Market Buzz,Learning Bytes
Automation Friday Webinar Today | Performance Testing of Hybrid IT,Learning Bytes
REMINDER: Automation Friday Webinar Today | Performance Testing of Hybrid IT,Learning Bytes
RE: Announcing Star Awards 2019 : Start Identifying Your Best of Best NOW!,Social
Daily Buzz: Join the Automation webinar today at 3 PM IST | Check out eXtra mile for some interesting assignments ,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | Performance Testing of Hybrid IT,Learning Bytes
Your password expires in 7 day(s),Important
Daily Buzz: Participate in a fun quiz around the ICC World cup 2019 and win some cool prizes! ,Learning Bytes
Star Awards Nomination Date Has Been Extended Till 27th  May 2018! ,Social
AQT Market Buzz,Learning Bytes
Your password expires in 6 day(s),Important
Learning Bytes: PLURALSIGHT | LIFESKILL | TECHNICAL | AUTOMATION | PEG | EMEA | DATA ANALYTICS Sessions,Learning Bytes
Daily Buzz: Celebrating World Day of Cultural Diversity. Wish a friend on Kudos! ,Learning Bytes
Your password expires in 5 day(s),Important
Daily Buzz: Celebrate Bio-diversity day by sharing your best shot and win some exciting prizes! ,Learning Bytes
TIM Service Notification: Outage,Important
Your password expires in 4 day(s),Important
Learning Bytes: Register for upcoming learning sessions and trainings!,Learning Bytes
Daily Buzz: Predict the winners of the ICC World Cup Qualifier games & win some grand prizes! ,Learning Bytes
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
Assigned activity Digital 201 certification is overdue.,Important
Your password expires in 3 day(s),Important
RE: Java Full Stack : Kick off session,Learning Bytes
Automation Friday Webinar Today | Ballista –TechM’s Performance Testing tool,Learning Bytes
REMINDER: Automation Friday Webinar Today | Ballista –TechM’s Performance Testing tool,Learning Bytes
Daily Buzz: Join an exclusive webex on Decoding the financials on 27th May at 4 PM IST,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | Ballista –TechM’s Performance Testing tool,Learning Bytes
TIM Service Notification - Restoration - INC000007034931 - Intermittent issue with TIM Helpline Number (7799),Important
[BULK] ?? Memorial Day Weekend Sale: 50% off your logo,Social
Tech Mahindra Football Club - Winners of Champions Stars Trophy 2019,Social
Training Calendar updated - May 2019,Learning Bytes
Daily Buzz: We are hiring! Check out a unique opportunity for Science grads || Have you taken the eXtra mile survey yet? ,Learning Bytes
RE: Java Full Stack : Kick off session,Learning Bytes
Join us on webex for world no tobacco day,Social
Daily Buzz: Decoding the Q4 financials tomorrow at 4 PM IST. Please note the new webex link!,Learning Bytes
Learning Bytes: PLURALSIGHT | LIFESKILL | TECHNICAL | AUTOMATION | PEG | ITIL | EMEA | DATA ANALYTICS Sessions,Learning Bytes
[ALL] TIM Service Notification - Emergency Activity - Maintenance from ISP on TIM Number CSD 7799,Important
[ALL] TIM Service Notification - Emergency Activity - Maintenance from ISP on TIM Number CSD 7799,Important
Join us on webex for world no tobacco day,Social
RE: Java Full Stack : Kick off session,Learning Bytes
Take the latest STAR AWARDS Quiz and win fabulous prizes,Social
Daily Buzz: Swipe-in & out records are not available on the Timesheet page from 21st May ,Learning Bytes
Participate & Volunteer for World Environment Day,Social
Invite for the Angular session (Extended) ,Learning Bytes
Registration approved for Web seminar: Tech Mahindra and UiPath Launch AI Driven End-to-End Automation Solution for Enterprises,Learning Bytes
Learning Bytes: PLURALSIGHT | LIFESKILL | TECHNICAL | PEG | ITIL | DATA ANALYTICS Sessions,Learning Bytes
Daily Buzz: Read on to know what a famous Hindi movie dialogue and our industry have in common! ,Learning Bytes
Thank you for attending the Web seminar: Tech Mahindra and UiPath Launch AI Driven End-to-End Automation Solution for Enterprises,Learning Bytes
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
Assigned activity Digital 201 certification is overdue.,Important
[ALL] TIM Service Notification - Outage - INC000007061545 - TIM Live CHAT is not available due to Technical issue,Important
Automation Friday Webinar Today | Digital App Performance & Ops Analytics,Learning Bytes
REMINDER: Automation Friday Webinar Today | Digital App Performance & Ops Analytics,Learning Bytes
Daily Buzz: Join the Automation Friday webinar at 3 PM IST today || Timesheet issue resolved ,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | Digital App Performance & Ops Analytics,Learning Bytes
Automation & AI JUNE'19 Training calendar,Learning Bytes
TIM Service Notification - Restoration - INC000007061545 - TIM Live CHAT was not available due to Technical issue,Important
Timesheet Approval pending for  01-Apr-19 to 31-May-19,Important
Timesheet Approval pending for  01-Apr-19 to 31-May-19,Important
Timesheet Approval pending for  01-Apr-19 to 31-May-19,Important
Congratulations on your Milestone!!!,Social
Happy Birthday to all the June babies!!!,Social
RE: Invite for the Angular session (Extended) ,Learning Bytes
Daily Buzz: Talex | Discover opportunities tailor made for you – Update your SPMS today!,Learning Bytes
Timesheet Approval pending for  01-Apr-19 to 31-May-19,Important
Training Calendar - June 2019,Learning Bytes
Daily Buzz: Important ISG alert on the usage of Personal portable devices! ,Learning Bytes
Timesheet Approval pending for  01-Apr-19 to 31-May-19,Important
Timesheet Approval pending for  01-Apr-19 to 31-May-19,Important
"FW: Live Demo June 13th - JRebel, XRebel, QRebel- Improving Java productivity by 20%",Learning Bytes
RE: IAUT AWARDS - FY 19-20 - Q1,Social
IRIS Newsletter - Presenting an AI based sustainable environment ideathon. Do participate! ,Learning Bytes
Learning Bytes: TECHNICAL | AUTOMATION | EMEA Sessions,Learning Bytes
Daily Buzz: Play the Mahindra Sustainability e-quiz and win some grand prizes! ,Learning Bytes
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
Timesheet Approval pending for  01-Apr-19 to 31-May-19,Important
[BULK] Your learning breakthrough starts here ,Learning Bytes
Reported Time was approved for 01/05/2019 to 31/05/2019,Important
Automation Friday Webinar Today | NextGen Test Data Management,Learning Bytes
Daily Buzz: Join the Automation webinar at 3 PM IST today,Learning Bytes
RE: IAUT AWARDS - FY 19-20 - Q1,Social
REMINDER: Automation Friday Webinar Today | NextGen Test Data Management,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | NextGen Test Data Management,Learning Bytes
[Chennai] TIM Service Notification - Planned Maintenance - DR Chennai TMCC Core Switches ,Important
Invite for Front-End development with Angular 6 training,Learning Bytes
Daily Buzz: Check out the top 5 things that you can do on MyBeat Plus! ,Learning Bytes
Learning Bytes: TECHNICAL | AUTOMATION | EMEA | PEG | LIFESKILL Sessions,Learning Bytes
Daily Buzz: Explore your favourite classifieds portal Advantage 2.0 today! ,Learning Bytes
Daily Buzz: Check out the new gaming zone on the HR site ,Learning Bytes
Learning Bytes: TECHNICAL | SBU - BAY AREA | AUTOMATION | EMEA | PEG | LIFESKILL Sessions,Learning Bytes
Daily Buzz: Data leakage prevention is now active on all TechM systems ,Learning Bytes
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
"Training Calendar - June,19  (updated)",Learning Bytes
Automation Friday Webinar Today | LCaaS - Legacy Code Analysis tool,Learning Bytes
REMINDER: Automation Friday Webinar Today | LCaaS - Legacy Code Analysis tool,Important
Daily Buzz: Introducing 'Book My Seat' : Check it out! ,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | LCaaS - Legacy Code Analysis tool,Learning Bytes
Daily Buzz: Winners of the World Biodiversity Day photo contest announced! ,Learning Bytes
SMTIGDC Password Expiry Notification,Important
Congratulations to the new Shadow Board 2019-2020!,Social
FW: OVERDUE TRAINING,Important
RE: OVERDUE TRAINING,Important
RE: OVERDUE TRAINING,Important
Daily Buzz: TIM notification - Shutting down old NAS paths ,Learning Bytes
Learning Bytes: TECHNICAL | BAY AREA | AUTOMATION | EMEA | PEG | LIFESKILL Sessions,Learning Bytes
SMTIGDC Password Expiry Notification,Important
RE: OVERDUE TRAINING,Important
Daily Buzz: Access Kudos faster: Just download the Instapat app now!,Learning Bytes
RE: OVERDUE TRAINING,Important
SMTIGDC Password Expiry Notification,Important
RE: OVERDUE TRAINING,Important
"Explore the Radiqal contests on IRIS, share your ideas on new age technologies and win “Innovator of the Month” title ",Social
Learning Bytes: TECHNICAL | BAY AREA | AUTOMATION | EMEA | PEG | LIFESKILL Sessions,Learning Bytes
Daily Buzz: Looking for support? Post assignments on eXtra Mile!,Learning Bytes
SMTIGDC Password Expiry Notification,Important
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
Iyoga Day- 21st June 2019 @ Tech Mahindra Chennai ,Social
Automation Friday Webinar Today | AppsOne - Cognitive Operations for Hybrid Digital Services ,Learning Bytes
REMINDER: Automation Friday Webinar Today | AppsOne - Cognitive Operations for Hybrid Digital Services ,Important
Daily Buzz: Celebrating International Yoga day - Share your pictures on MyBeat Plus and win prizes!,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | AppsOne - Cognitive Operations for Hybrid Digital Services ,Learning Bytes
SMTIGDC Password Expiry Notification,Important
TIM Service Notification - CRQ000000079520- Intermittent disconnection - Noida - CM - Migration Activity,Important
SMTIGDC Password Expiry Notification,Important
"Introducing AQT Learning Labs at Bengaluru, Hyderabad, Chennai and Pune",Learning Bytes
Daily Buzz: Looking for a role change? Explore Talex today! ,Learning Bytes
Learning Bytes: TECHNICAL | BAY AREA | AUTOMATION | EMEA | PEG | LIFESKILL Sessions,Learning Bytes
RE: IAUT AWARDS - FY 19-20 - Q1,Social
"Daily Buzz: Have a unique idea around AI, Blockchain or Iot? Share it with us and win INR 5K",Learning Bytes
IRIS Newsletter: Presenting Mahindra Innovation Awards 2019 ,Learning Bytes
"Daily Buzz: Buy, sell and rent on your favourite classifieds portal Advantage 2.0! ",Learning Bytes
TIM Service Notification - Planned Maintenance - HUB Service Desk Portal,Important
Learning Bytes: TECHNICAL | BAY AREA | AUTOMATION | EMEA | LIFESKILL Sessions,Learning Bytes
Daily Buzz: Register for an exclusive workshop and get AWS certification! ,Learning Bytes
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
Assigned activity Digital 201 certification is overdue.,Important
Your password expires in 7 day(s),Important
"Payslip for the Associate G Adityan for JUN,2019",Important
Automation Friday Webinar Today | Natural Language Generation,Learning Bytes
REMINDER: Automation Friday Webinar Today | Natural Language Generation,Important
Daily Buzz: Photo contest ends this weekend! ,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | Natural Language Generation,Learning Bytes
Your password expires in 6 day(s),Important
Your password expires in 5 day(s),Important
Your password expires in 4 day(s),Important
Timesheet Approval pending for  01-May-19 to 28-Jun-19,Important
Celebrating the connected generation. Happy World Social Media Day!,Social
Daily Buzz: Visa Cell Advisory: Advisory for Business Visa Travellers ,Learning Bytes
Howdy Bootcamp participants!,Learning Bytes
RE: Howdy Bootcamp participants!,Learning Bytes
INTIMATION: Timesheet Filling,Important
Your password expires in 3 day(s),Important
Timesheet Approval pending for  01-May-19 to 29-Jun-19,Important
Tune in to an exclusive webinar on IRIS Ideation contests TODAY at 11:30 AM IST ,Learning Bytes
RE: IAUT AWARDS - FY 19-20 - Q1,Social
FW: Automation & AI JULY'19 Training calendar,Learning Bytes
Automation & AI JULY'19 Training calendar,Learning Bytes
Learning Bytes: TECHNICAL | BAY AREA | EMEA | LIFESKILL Sessions,Learning Bytes
Training Announcement : Angular 6 (For SBU-DASV & CBU CES),Learning Bytes
"Introducing AQT Learning Labs at Bengaluru, Hyderabad, Chennai and Pune",Learning Bytes
Daily Buzz: Explore Talex and find your dream role! ,Learning Bytes
Timesheet Approval pending for  01-May-19 to 30-Jun-19,Important
RE: IAUT AWARDS - FY 19-20 - Q1,Social
Training Calendar - July'19,Learning Bytes
Daily Buzz: Explore Freevoice - It's where you can post all your queries and suggestions for the organization!  ,Learning Bytes
Vote for your favourite Stars #StarAwards,Social
Timesheet Approval pending for  01-May-19 to 01-Jul-19,Important
Learning Bytes: TECHNICAL | BAY AREA | LIFESKILL | PEG | PNW Sessions,Learning Bytes
Daily Buzz: Announcing the winners of the Moonshot contest! ,Learning Bytes
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
Assigned activity Digital 201 certification is overdue.,Important
Timesheet Approval pending for  01-May-19 to 02-Jul-19,Important
Vote for your favourite Location! #StarAwards,Social
Automation Friday Webinar Today | SAP DevOps Automation,Learning Bytes
REMINDER: Automation Friday Webinar Today | SAP DevOps Automation,Important
Daily Buzz: Become a Java full stack developer. Register for the course today! ,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | SAP DevOps Automation,Learning Bytes
Timesheet Approval pending for  01-May-19 to 03-Jul-19,Important
Timesheet Approval pending for  01-May-19 to 04-Jul-19,Important
Timesheet Approval pending for  01-May-19 to 05-Jul-19,Important
Congratulations on your Milestone!!!,Social
Happy Birthday to all the July babies!!!,Social
"Introducing AQT Learning Labs at Bengaluru, Hyderabad, Chennai and Pune",Learning Bytes
Kick off session for Angular 6,Learning Bytes
Daily Buzz: Important TIM notification on securing your TechM login credentials! ,Learning Bytes
NewsNXt: How curious are you? Find out!,Learning Bytes
Learning Bytes: Become Java full stack and .Net full stack developer ,Learning Bytes
Daily Buzz: Join an exclusive webex for 'Book my seat' on 10th July at 11 AM IST. Details inside,Learning Bytes
Inviting Associates to be part of the Mahindra Social Media Brand Advocacy Programme ,Social
Daily Buzz: Become a .NET full stack developer. Register today! ,Learning Bytes
Learning Bytes: Become a JAVA full stack developer | .NET full stack developer,Learning Bytes
Daily Buzz: Important - Changes in the timesheet management process ,Learning Bytes
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
Assigned activity Digital 201 certification is overdue.,Important
Automation Friday Webinar Today | Incident Analytics - Transforming ITSM,Learning Bytes
Re: Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
FW: Automation Friday Webinar Today | Incident Analytics - Transforming ITSM,Learning Bytes
REMINDER: Automation Friday Webinar Today | Incident Analytics - Transforming ITSM,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | Incident Analytics - Transforming ITSM,Learning Bytes
Daily Buzz: Automation Friday Webinar at 3 PM IST | Incident Analytics - Transforming ITSM,Learning Bytes
"Introducing AQT Learning Labs at Bengaluru, Hyderabad, Chennai and Pune",Learning Bytes
"Training Calendar - July,19  ",Learning Bytes
TIM Service Notification - Outage - INC000007222262– Intermittent issue while using the Web Ex Tm connect portal ,Important
Daily Buzz: Book my seat is now available at all TechM offices in India. Join an exclusive webinar tomorrow to know more!,Learning Bytes
OTM Event - Chennai,Social
Learning Bytes: PMBoK 6 | TECHNICAL | BAY AREA | LIFESKILL | PEG | EMEA | AUTOMATION | BLOCKCHAIN | PNW Sessions,Learning Bytes
TIM Service Notification - Restoration -  INC000007222262– Intermittent issue while using the Web Ex Tm connect portal,Important
Daily Buzz: Find your dream role on Talex! ,Learning Bytes
Learning Bytes: TECHNICAL | LIFESKILL | PEG | EMEA | AUTOMATION | BLOCKCHAIN | PNW Sessions,Learning Bytes
TIM Service Notification - Planned Maintenance - Hofix Installation in TMCC ,Important
Daily Buzz: Star awards 2019: Catch the live webcast tomorrow at 8:15 AM IST,Social
Assigned activity Digital 201 certification is overdue.,Important
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
Star Awards 2019 starts at 8:15 AM. Do join! ,Social
Rise Cricket League - Launch Day -19th July 4PM onwards,Social
Tune into #TechMStarAwards 2019 NOW!,Social
Automation Friday Webinar Today | UNO - TechM's RPA platform,Learning Bytes
RE: Automation Friday Webinar Today | Incident Analytics - Transforming ITSM,Learning Bytes
RE: Automation Friday Webinar Today | Incident Analytics - Transforming ITSM,Learning Bytes
REMINDER: Automation Friday Webinar Today | UNO - TechM's RPA platform,Learning Bytes
Daily Buzz: Important ISG alert for data leakage prevention! ,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | UNO - TechM's RPA platform,Learning Bytes
ACTION REQUESTED  : Goal Setting pending for your action. ,Important
FW: Star Awards 2019 starts at 8:15 AM. Do join! ,Social
"Introducing AQT Learning Labs at Bengaluru, Hyderabad, Chennai and Pune",Learning Bytes
"FW: Introducing AQT Learning Labs at Bengaluru, Hyderabad, Chennai and Pune",Learning Bytes
RE: OTM Event - Chennai,Social
The Daily Buzz: An opportunity you can't miss,Learning Bytes
Space Management System Request No 612119SMS98032 has been Rejected.,Important
RE: Space Management System Request No 612119SMS98032 has been Rejected.,Important
Learning Bytes: TECHNICAL | LIFESKILL | PEG | EMEA | AUTOMATION | BAY AREA | PNW Sessions,Learning Bytes
Daily Buzz: Got multiple tasks and less time? Let eXtra mile help you ,Learning Bytes
"Training Calendar - July,19  ",Learning Bytes
Daily Buzz: Presenting the ME page on Carenet | Join an exclusive webinar on goal setting at 4 PM IST today! ,Learning Bytes
Learning Bytes: LIFESKILL | PEG | EMEA | AUTOMATION | BAY AREA | PNW Sessions,Learning Bytes
Daily Buzz: CS notification - Important instructions for fire drills ,Learning Bytes
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
Assigned activity Digital 201 certification is overdue.,Important
Automation Friday Webinar Today | StoriCool - AI based NextGen Storytelling,Learning Bytes
REMINDER: Automation Friday Webinar Today | StoriCool - AI based NextGen Storytelling,Learning Bytes
Daily Buzz: Explore Talex and discover for some really cool job opportunities!,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | StoriCool - AI based NextGen Storytelling,Learning Bytes
Your Leave Request has been Approved,Important
Project Opening for PMO role,Important
Daily Buzz: Embrace a healthy lifestyle - Download the IRA Yoga App! ,Learning Bytes
Score Sheet For Digital 101,Important
"Payslip for the Associate G Adityan for JUL,2019",Important
Learning Bytes: BECOME JAVA FULL STACK DEVELOPER | .NET FULL STACK DEVELOPER | LIFESKILL | PEG | AUTOMATION | BAY AREA | PNW Sessions,Learning Bytes
FW: Automation Anywhere: August Training calendar,Learning Bytes
Daily Buzz: Get your Form 16 and Taxsheet delivered to your inbox by UVO! ,Learning Bytes
Daily Buzz: Mandatory Information to be updated for Payroll/Tax | Join an exclusive webex on goal setting today! ,Learning Bytes
Timesheet Approval pending for  01-Jun-19 to 29-Jul-19,Important
Learning Bytes: Become Java full stack developer | .NET full stack developer | lifeskills | PNW | Bay area sessions,Learning Bytes
Congratulations on your Milestone!!!,Social
Happy Birthday to all the August babies!!!,Social
Automation & AI August'19 Training calendar,Learning Bytes
Urgent Action Required :Goal Settings,Important
Daily Buzz: Wish your favourite colleague a 'Happy Friendship Day' on Kudos!,Learning Bytes
INTIMATION: Pending Timesheet updates,Important
Assigned activity Digital 201 certification is overdue.,Important
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
Timesheet Approval pending for  01-Jun-19 to 31-Jul-19,Important
Automation Friday Webinar Today | Google Dialogflow use case,Learning Bytes
Daily Buzz: Join the Friday Automation webinar at 3 PM IST today! ,Learning Bytes
REMINDER: Automation Friday Webinar Today | Google Dialogflow use case,Learning Bytes
JOIN NOW: Automation Friday Webinar Today | Google Dialogflow use case,Learning Bytes
Reported Time was approved for 01/07/2019 to 31/07/2019,Important
Purchase requisition 0000192614 POIND raised by you is pending for approval with SRIRAM K.,Important
"DEXT - Get Ahead Application downtime on Saturday, 3rd Aug’19 from 6.30 AM IST to 12.30 PM IST",Learning Bytes
Urgent requirement for Java Bangalore location,Important
"Daily Buzz: Register for sessions in AI, Data science, Big Data analytics and more! ",Learning Bytes
TIM Service Notification - Chennai TMCCC Primary - Internet link is down,Learning Bytes
Your password expires in 7 day(s),Important
TIM Service Notification - Restoration Chennai TMCC Primary – TATA Internet link is down,Important
Learning Bytes: Check out some important training and learning sessions,Learning Bytes
Inviting volunteers to join the Green Marshals team ,Social
Daily Buzz: Login to Talex and check out some interesting job opportunities! ,Learning Bytes
Chennai ACE AWARDS 2019,Social
Training Calendar - Aug 2019,Learning Bytes
Daily Buzz: Mahindra has talent is back! The stage awaits you. Register today ,Learning Bytes
"Learning Bytes: Important technical sessions, life-skills sessions and more!",Learning Bytes
Join us for a Webex session on Women in action: Work life balance,Learning Bytes
Daily Buzz: Know the difference between HUB and Freevoice! ,Learning Bytes
Assigned activity Digital 201 certification is overdue.,Important
Learning Assignment Overdue: Digital 101 Due by 5/2/2019.,Important
Automation Friday Webinar | Kofax - An Intelligent Automation Platform,Learning Bytes
"RE: Adityan Gopinathan has raised a PR (0000192614),for IDU: ICMF and is waiting for your approval.",Important
REMINDER: Automation Friday Webinar | Kofax - An Intelligent Automation Platform,Learning Bytes
JOIN NOW: Automation Friday Webinar | Kofax - An Intelligent Automation Platform,Learning Bytes
Daily Buzz: Timesheet update - Swipe-in records are not available for 5th August,Learning Bytes
TiBOT #isLIVE,Important
